sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
TCGA.3L.AA1B.01A.11R.A37K.07,0.0,0.0,0.0,1.3520381,0.0,0.14076161,0.0,1.6515983,2.3861852,0.45941988,0.0,0.0,0.0,3.9127674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330919,0.2670861,0.0,0.36723608,2.240746,0.55288947,0.0,0.040294647,0.0,1.7843568,1.2076049,0.0,0.0,1.3183993,0.0,0.0,0.0,0.9730733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440576,0.5318151,3.782474,0.0,0.0,0.0,0.0,0.3724091,0.0,0.0,2.7163095,0.10615289,0.0,0.0,0.0,0.0,0.8972423,0.0,2.2744396,1.2128985,0.0,0.0,1.2931465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4737121,0.4997527,2.5044303,0.0,0.0,1.6219435,0.0,0.0,1.2571926,0.50736284,0.0,0.28406864,0.0,0.0,0.0,1.760856,0.031776987,0.0,0.0,0.0
TCGA.4N.A93T.01A.11R.A37K.07,0.8391882,0.0,0.9209057,0.0,0.0,2.6966708,0.0,2.089562,0.7099103,0.0,0.0,1.0003116,0.77434105,3.480082,0.0,0.0,1.247824,0.4280428,0.0,0.0,0.0,3.058929,3.0461388,0.0,0.24953756,5.7527394,1.3139734,1.395753,0.0,0.0,3.5075142,1.9641509,3.6268299,0.0,1.8941331,0.11391544,0.0,1.2283854,3.490489,3.308704,0.5060663,0.0,1.3269224,1.2817676,0.0,0.0,4.661474,0.5508287,0.48451555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034091,0.0,0.0,3.6847758,0.0,1.9624443,3.807618,0.0,0.0,0.0,0.0,0.2744642,2.047943,1.225213,2.404722,0.0,0.08922159,0.0,0.39141765,0.0,0.65771157,4.199497,1.1038971,0.0,0.0,0.0,0.0,0.0,1.3140149,0.0,0.0,0.07509869,1.4616289,0.0,0.83932626,0.0,0.0,0.7415074,1.4558053,0.0,1.1435747
TCGA.5M.AAT4.01A.11R.A41B.07,0.17738393,0.15927577,4.3507295,0.0,0.0,1.200877,0.39285678,1.3976102,0.31002474,0.0,0.0,0.4334808,0.0,0.7364027,3.1562893,0.0,0.0,0.0,0.0,0.0,0.6443563,2.792704,1.8934294,0.013820961,0.0,3.4602475,0.37874162,0.0,0.0,0.0,3.6035829,0.0,1.7932533,0.0,2.6782427,1.7084833,0.29334807,0.0,3.39044,3.4400744,0.0,0.0,1.9955832,0.1829966,0.0,0.0,4.0864954,0.0,0.28841436,0.0,1.2064904,0.0,0.0,0.0,0.0,0.0,0.72374415,0.0,2.6570673,1.9687942,0.9663038,0.7990643,1.9957749,0.0,2.130417,0.9316709,0.23932756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5083474,0.7969868,0.0,2.3308337,0.0,0.72117937,0.097866654,0.0,0.0,0.911927,1.352016,0.0,0.16906857,0.0,0.0,0.0,0.0,1.9579632,0.0,0.4296728,0.0,0.0,0.0
TCGA.5M.AAT6.01A.11R.A41B.07,0.0,0.0,2.0343523,0.0,2.0139906,0.0,0.0,0.0,0.0,2.3722787,0.0,2.2562692,0.0,0.24947679,0.0,0.0,0.0,2.0941133,0.0,0.0,0.0,0.0,2.7167745,2.0406654,0.0,0.93015915,0.0,0.22995408,3.2106643,0.0,0.0,0.0,1.5433679,0.28201166,0.0,0.0,2.4752798,0.0,0.0,0.90017986,0.0,0.0,0.0,0.0,0.0,2.7517996,2.4699488,0.0,1.6259392,0.22146185,0.76997197,0.0,0.0,3.1509135,0.7352379,0.8383466,0.0,0.0,1.3641739,0.0,0.44082963,0.0,0.24120319,0.2565171,0.0,0.0,0.0,1.984102,3.393272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.268948,0.0,1.4985971,0.0,0.0,0.45183867,2.2559447,4.484165,0.4132716,1.4608266,1.7202415,0.0,3.3195896,0.5276562,0.0,0.0,1.6736205,0.0,1.8567181,0.63865995,0.42233846,0.0,0.8694238,0.20819646
TCGA.5M.AATE.01A.11R.A41B.07,0.35560092,0.0,2.2689395,0.0057671666,0.0,1.9915082,0.35994104,2.232954,0.5168381,0.0,0.0,1.2486169,0.00709578,3.1961112,2.0214274,0.0,0.0,0.0,0.0,0.0,1.0030086,4.0208473,0.14521894,0.0,0.0,3.5110488,2.7315927,0.0,0.0,0.0,3.3725924,0.010869771,1.8301238,0.0,3.6630974,0.0,0.0,0.0,3.0659194,2.3638506,0.0,0.0,1.4724133,0.0,0.0,0.0,3.5010457,0.0,1.3901893,0.0,0.0,0.0,0.0,0.0,0.36485615,0.0,0.69058335,0.0,0.7871516,0.008794716,0.809862,0.20201564,2.1239638,0.11316395,2.6312783,2.0322044,0.0,0.0,0.0,0.0,0.2915701,1.1791116,0.0,0.0,0.0,0.0,0.0,0.647616,0.0,0.0,2.4992619,0.0,2.0052743,0.0,0.0,0.21093255,0.0,2.3177218,0.59721214,0.59768,0.0,0.0,0.0,0.4006245,0.030753016,0.0,0.90803325,0.0,0.0,0.0
TCGA.A6.2671.01A.01R.1410.07,4.2097487,0.0,0.0,0.0,2.7436094,0.0,0.0,3.4721746,1.3926274,0.0,0.47603655,0.0,0.0,0.0,0.013365075,0.8546131,0.0,0.0,0.0,0.0,3.9676,1.238519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836162,0.0,0.0,3.443361,0.1217259,0.6735885,0.0,0.0,0.0,0.0,1.9824046,0.0,0.0,2.247088,2.7299848,0.0,2.1553156,0.0,0.0,3.5685115,0.0,0.0,0.0,2.5015101,0.0,0.0,0.7021829,1.1032848,0.0,0.9311149,0.0,0.0,0.0,3.3525457,0.0,0.0,0.0,0.0,0.0,1.8612531,1.8536642,0.27812433,0.0,1.9187045,3.098695,1.9382236,0.0,1.7990501,0.27931637,0.8122597,0.0,0.0,0.0,0.40143323,2.0602672,0.0,1.4280849,0.018021166,0.16589862,2.1876297,2.1259422,0.0,1.7819209,0.0,0.0,2.0273862,1.2072138,0.0,3.0422335,1.5954766,1.8066397
TCGA.A6.2671.11A.01R.A32Z.07,0.0,0.0,0.0,2.3712697,0.0,0.0,0.0,0.5805979,0.0,2.2329404,0.0,0.0,0.07688724,0.89146084,0.0,3.7482517,3.8230526,0.0,0.0,3.0238745,0.03092885,0.0,0.0,0.0,2.3586726,0.0,0.0,0.0,0.0,0.08833313,0.0,3.816295,0.0,2.7412977,0.0,0.0,0.0,3.9660754,0.0,0.0,0.37627435,0.0,0.0,0.0,0.0,0.0,0.0,1.4416375,0.0,2.2593312,0.0,1.8611,0.0,1.316663,0.0,2.064938,0.115005255,3.1881628,0.0,0.0,0.0,0.0,0.0,3.4560015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2981002,0.0,2.3595264,1.7906144,0.2856967,0.0,2.1842842,0.0,2.9732254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.627309,2.7397785,0.0,0.0,0.60145676,1.3436308,1.2008544,3.1278577,0.0
TCGA.A6.2672.01A.01R.0826.07,0.49377337,0.0,0.0,0.47859496,2.4216688,0.0,0.0,0.0,0.0,0.0,0.0,2.3933177,0.0,0.0,0.0,4.022764,0.0,2.214766,0.0,0.00490823,0.061425745,0.0,2.4110932,1.6878355,0.0,0.0,0.0,0.63705313,3.2178435,0.0,0.0,0.0,1.593984,2.5894861,0.0,0.22864267,3.8058052,0.0,0.0,0.03146243,0.0,0.0,0.0,3.4727068,0.0,3.2092931,0.0,0.0,0.0,1.043207,2.0406914,0.0,2.259047,0.0,0.0,0.0,0.0,0.0,0.7660927,0.0,0.022201777,1.1521455,1.6429487,0.0,0.0,0.86839604,0.0,2.7774117,2.1664906,0.67667854,0.0,0.0,1.8748398,2.225432,0.22767141,1.2719262,1.5790497,0.0,1.4471178,0.0,0.0,0.0,0.0,3.7664783,0.0,0.6661388,2.6104493,0.0,0.0,0.0067156553,0.6787859,0.0,2.562587,0.0,2.4175673,0.0,0.0,1.7133329,0.9666876,0.1401546
TCGA.A6.2672.01B.03R.2302.07,0.0,0.0,1.9267259,3.0536973,0.0,3.593089,0.14483632,0.13788682,2.2679505,1.8194326,0.3518846,4.5321403,0.0,1.095772,0.0,0.0,0.0,1.8171343,0.0,2.5184577,0.0,2.2067807,0.3349293,4.433829,3.042283,3.0255017,0.0,0.0,2.6705375,0.0,2.9777415,0.1499654,1.7066054,0.0,0.0,0.120952845,3.9978876,0.0,0.0,0.20115578,2.006627,0.5424464,0.0,1.8970381,0.0,0.0,2.5965135,4.3945103,0.023508906,3.405054,0.0,1.6208187,0.0,3.78059,1.9528139,0.0,0.22440767,0.27949178,0.10313004,0.0,4.2577972,5.2579417,0.3476696,4.62803,3.038307,3.2452857,0.0,2.0282032,2.0778227,0.0,0.5306688,1.5413524,0.0,1.4842918,0.0,0.03273636,3.9179597,0.0,0.0,0.0,0.0,0.0,1.8662878,0.13222587,0.0,0.0,0.10042256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5728395,0.0,3.9781497,0.0,2.1748648,2.2023764
TCGA.A6.2672.01B.03R.2302.07.1,0.23630473,0.0,0.6910275,5.1161256,0.0,1.9883828,0.47234744,0.0,3.8570652,2.963359,0.0,3.5693471,0.0,1.4391861,0.0,0.0,0.0,0.0,0.0,0.43621868,0.0,2.6191,1.562369,3.291429,2.340698,1.1852775,0.0,0.0,3.4588146,0.0,3.9092329,0.0,0.81304586,0.6153264,0.6299112,1.7456772,2.7811997,0.0,0.0,0.0,0.0,0.0,0.0,2.2749696,0.0,0.0,3.9893878,5.3073874,0.8477082,1.3410132,0.075837255,2.058135,0.0,3.9488618,0.0,0.0,4.451974,0.0,0.0,0.0,4.7046394,5.4565496,0.0,3.5956085,3.9113305,1.6852083,0.0,4.0708375,3.443038,0.0,0.0,0.88582194,0.0,0.032755464,0.0,0.0,2.5166276,0.0,2.6891997,0.0,0.0,0.0,3.0035243,1.7782967,0.0,1.3257523,0.0,0.0,0.048507214,1.6546079,0.0,0.0,0.0,0.0,2.9847236,2.3403873,3.478758,0.0,0.0,0.19567388
