sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
GSM1523727,0.0,5.8820534,0.0,3.3058472,0.0,0.0,0.0,0.0,7.883134,4.924251,2.3600621,0.0,5.9188914,0.0,0.0,0.0,0.0,7.264248,7.6022515,10.082201,0.0,0.0,7.7761993,0.738799,7.0270348,0.0,0.0,0.0,0.0,6.280366,8.005894,7.0619745,0.0,8.284127,7.7959843,6.5606413,8.116719,4.963066,7.078223,0.0,6.99313,5.871147,0.0,7.289973,0.0,0.0,1.7396245,0.0,0.0,3.433048,0.0,0.0,6.589968,0.0,0.0,6.913973,0.0,0.21602893,0.0,0.0,4.3849726,9.020517,0.0,0.0,4.851985,7.9289393,0.0,0.0,6.8766904,0.0,0.0,0.0,0.0,0.0,7.074435,7.087446,5.538993,5.0093527,3.2670124,0.0,0.0,0.0,0.0,4.68384,7.789278,5.4954147,8.109909,5.247639,0.0,0.0,0.0,0.0,6.2535763,0.0,0.0,3.94816,5.846398,0.0,0.0,5.6281333
GSM1523728,8.058525,0.0,0.0,4.1166697,0.0,6.9030237,3.4956918,0.0,0.0,0.0,6.3671303,2.245663,4.0724006,3.7829003,0.0,7.8851695,0.15774202,5.832126,5.498499,8.783513,0.7827536,0.0,5.154896,7.4134045,7.1424646,1.7009073,3.8880033,0.0,5.34802,0.0,4.5977297,0.0,0.0,6.385101,5.9568186,0.0,8.278445,7.6409388,7.7766247,0.0,3.495162,0.0,0.0,3.59983,0.0,6.468648,0.0,1.10602,3.5012496,5.590217,8.617757,0.0,4.3856583,0.0,6.07351,6.7931232,1.1876712,6.694732,0.0,3.7184203,0.74219215,4.539384,1.7155668,7.704455,6.4894104,7.5130997,7.232135,2.9565644,5.395165,0.0,4.709079,6.4462976,0.0,0.0,2.2871554,5.2689533,2.7674208,6.032999,6.7547674,4.6479926,6.247156,1.5470271,0.0,4.5496006,6.0692577,3.7921045,7.3821077,1.4031329,0.6437553,0.0,5.2018423,5.3493404,0.0,5.0259423,7.0992584,6.0776253,0.0,1.7654318,0.0,2.6814046
GSM1523729,5.7361584,4.3634014,1.2553105,2.3683357,0.13664865,6.820586,5.199904,6.5838194,5.502247,0.0,3.8779855,0.4024229,2.6807008,6.8429904,0.94074595,0.0,0.0,7.509543,7.1932244,5.6650043,3.1681032,3.0412412,3.4977088,5.297992,2.223286,0.0,3.980106,0.0,4.04097,0.0,8.043181,7.079917,4.5377736,2.7872896,6.760132,5.43614,5.3177586,3.7581449,4.985717,0.0,1.6828686,0.0,2.7207427,6.0010915,0.92991424,1.1453474,0.127931,0.63549113,2.2665408,4.906971,5.8666306,0.0,6.786058,0.0,0.32534528,0.8589437,3.6560464,1.6305735,0.0,0.0,1.5858691,5.8096647,2.7133865,4.011918,2.6359854,5.4778132,6.0733485,6.402789,1.401382,0.0,0.7702333,0.0,0.0,2.2753398,1.5360475,6.3406553,4.608816,5.360326,0.0,0.0,7.0484047,2.1080568,2.7141337,1.3506078,4.8079405,6.222657,5.1287317,3.1429403,5.6071434,1.193078,0.0,4.3839946,5.3666306,4.0118294,1.4108148,6.8525314,0.0,0.0,3.8433025,6.168392
GSM1523744,0.3481555,2.375637,0.0,4.168737,0.0,0.0,3.0959005,0.0,1.3189523,6.6285515,1.837081,0.0,0.0,2.3030229,0.0,1.7790009,0.71912396,2.8315682,2.8161612,6.3904014,1.3246814,3.1066957,1.3334095,2.113652,6.224646,0.0,4.782537,0.3894838,0.64065444,4.7516336,4.1367927,5.5443764,0.0,4.5825624,3.1508465,2.5717595,2.5341406,1.7869357,7.4618607,0.0,0.0,1.8262036,1.4349279,2.724363,7.523386,2.7741392,0.0,5.318731,0.0,5.5005684,3.2758029,5.0082912,3.8937712,0.0,3.7931287,2.4128165,6.0544376,3.6448796,0.0,1.2807913,2.1086524,4.9815207,3.5449352,0.0,4.1141596,9.946316,4.098813,1.329937,0.30588222,1.5936228,0.7285187,3.3716764,2.6921985,2.085775,6.9241962,5.9672956,5.4170856,5.5424128,6.7227983,1.1225352,1.8222893,1.3722928,0.0,1.157349,6.3037214,0.0,1.8673748,6.931031,1.391181,0.6359805,0.0,1.8163358,3.8318186,0.0,0.0,4.8927073,0.0,1.1154848,2.6928895,0.7063422
GSM1523745,0.0,7.8159156,0.0,8.481443,0.0,2.3460333,4.556892,0.0,0.0,6.9154577,3.7866554,0.0,0.0,0.0,0.0,8.544014,0.21048963,0.0,0.0,7.020898,8.731548,0.0,0.0,0.0,8.473092,0.0,7.4890513,6.1209135,3.0128515,0.6080544,6.902853,5.237196,7.793355,4.408474,0.0,6.9987984,0.0,0.0,4.5299478,4.06272,0.0,0.0,8.07668,6.1366386,4.380452,2.5259442,0.0,0.0,0.0,0.0,6.452894,7.016863,0.0,0.0,7.0054255,0.0,4.978667,6.4191017,5.994875,0.49929488,4.6009526,9.50264,8.500919,3.0082579,5.9222426,7.2461925,8.139239,0.0,0.0,0.0,0.0,6.137083,0.0,7.323373,5.2883496,0.0,4.302847,4.684927,0.0,0.0,4.7869196,6.498436,0.0,0.0,0.0,0.0,0.4819255,0.0,5.591155,1.5387317,0.0,0.0,0.0,0.0,0.0,0.0,1.6618985,0.0,7.4898367,6.5400486
GSM1523746,6.0672717,0.0,0.0,8.463293,0.25845182,0.0,9.000697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.775632,0.0,0.0,0.0,0.0,7.22069,5.3291078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6100736,0.0,9.549724,0.0,0.0,0.8938211,0.0,0.0,0.0,4.791913,0.0,0.0,0.0,1.6975224,0.0,8.961502,0.0,0.0,0.0,0.0,8.505295,0.0,5.3570414,0.0,0.0,0.0,0.0,7.0805244,0.0,0.0,8.223066,8.344922,0.0,8.800927,0.548893,0.0,5.7799253,10.365462,8.919242,0.0,0.0,7.798666,0.0,0.0,0.0,7.145851,0.0,0.0,0.0,0.0,10.325651,7.9510326,0.0,4.112218,0.0,0.0,7.3204145,7.878393,0.0,6.6694145,0.0,0.0,0.0,0.0,4.1420307,9.461281,0.0,7.520063,7.6150303,0.0,8.214752
GSM1523747,0.0,5.543901,0.0,0.0,0.0,0.0,9.178034,0.0,0.2852286,0.0,8.720613,0.0,0.0,0.0,9.408093,9.902345,7.090596,0.0,0.0,6.8674283,0.0,9.994597,0.0,0.55969083,7.820801,8.418201,3.448091,0.0,0.0,8.442456,0.0,0.0,0.0,6.154643,0.0,11.422804,0.0,0.0,0.0,0.0,0.0,0.0,7.6273584,5.8472652,5.899515,0.61548984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4579816,0.0,0.0,4.9104767,7.1676655,0.0,0.0,0.0,5.2245407,0.0,0.0,0.0,0.0,0.0,0.0,7.7707376,0.0,9.697499,0.0,8.959218,0.0,0.0,6.075556,0.0,0.0,7.385307,0.0,0.69905853,0.16479969,0.0,0.0,10.308072,0.0,0.0,0.0,8.909392,2.005021,8.022061,11.237971,0.0,1.1417239,0.0,11.646039
GSM1523748,4.494218,5.087612,0.0,1.7771695,0.0,7.046638,6.7231145,0.0,6.3333893,3.5153475,5.0723333,0.0,0.0,8.180191,0.0,0.0,0.0,5.465811,4.486385,6.521335,5.338183,0.1779443,4.96172,1.0177897,7.132377,1.4211822,1.5501943,3.893977,0.24731743,5.262024,7.6498585,7.151312,0.0,0.73192203,7.6663036,7.5683002,0.1817292,4.314412,0.0,0.0,0.0,1.4752002,2.2895448,0.0,0.23063958,3.2521691,1.8950331,0.0,4.7840643,4.8713474,1.7327219,5.836769,7.069471,0.88475716,0.0,0.0,6.657649,0.0,0.19937599,3.3395731,3.906249,6.3228993,5.1350937,1.8155316,1.3576794,7.445568,7.3859987,5.762267,5.710067,7.7885303,0.0,0.0,5.3461027,0.0,7.4947424,7.7830906,6.9393034,7.7472725,0.67106426,2.731906,4.966076,4.9057493,0.0,0.0,0.0,0.06976247,5.1316485,5.2843256,5.5362825,0.60071754,0.2637713,0.07878661,4.7432795,1.0615758,3.4071884,6.5589952,0.0,4.3727155,0.0,7.348138
GSM1523765,3.552966,0.0,0.0,8.907564,7.284668,0.0,0.0,0.0,0.0,7.216338,3.6172128,0.0,8.082057,0.0,9.381792,0.0,0.0,0.0,8.038224,0.0,8.249683,0.0,8.988051,0.0,0.0,0.0,0.0,0.0,0.0,9.748966,0.0,9.41221,0.0,9.131047,7.545244,0.0,0.0,0.0,4.563044,0.0,0.0,5.5107565,0.0,0.0,8.274782,0.0,0.0,0.0,0.0,0.0,0.0,5.0805745,0.0,0.0,7.765337,0.0,7.424726,8.99185,0.0,0.42763376,5.7887697,9.979965,0.0,0.0,0.0,10.183013,0.0,0.0,0.0,7.202643,0.0,0.0,0.0,0.0,6.00366,0.0,8.543886,5.9927044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.201872,7.0221314,0.0,0.0,0.0,0.0,0.0,8.372616,0.0,10.650165,0.0,0.0,4.328932,0.0
GSM1523768,0.0,0.0,0.0,2.2765906,0.45047092,3.998633,4.7782474,6.17642,4.392365,6.4715967,0.0,6.802583,5.8584175,6.051095,8.167408,6.96066,5.7508097,7.83964,7.1387153,0.0,4.7623887,3.932424,0.35890925,1.2479277,7.2952094,0.0,0.0,5.954401,4.7896576,0.0,5.711162,1.4744071,0.8636856,0.0,5.8199654,6.733575,6.428851,5.8851614,4.350126,0.27146053,0.0,0.0,5.59664,0.0,6.5392637,5.061003,0.0,5.6754823,4.376875,0.0,5.026635,2.1495428,7.5209317,0.0,3.286221,4.906864,4.721526,0.0,5.733876,3.948478,6.8199406,5.3413877,0.65304124,0.0,5.5199447,0.0,5.3270264,1.3767964,6.357593,4.8594637,0.0,3.322217,0.0,6.850993,1.5875788,0.15661526,1.4477252,6.3320227,4.931772,3.756261,4.22903,2.5546474,6.579011,2.1924899,4.380679,5.6636486,0.0,5.6163096,0.0,1.3311656,6.227953,4.752777,5.916353,0.5625992,3.444912,6.589281,4.846971,0.39352262,0.0,0.0
